1ª iteración:
/home/oxcar103/:
96.805312,	82.322685,	186.89236,	
/Windows8/Users/Usuario/Óscar/:
91.243615,	104.942817,	190.431318,	
/media/MYLINUXLIVE/:
316.666368, 100.927282, 479.709760, 
2ª iteración:
/home/oxcar103/:
120.40084,	157.672561,	193.979178,	
/Windows8/Users/Usuario/Óscar/:
99.973262,	95.705882,	197.544236,	
/media/MYLINUXLIVE/:	
331.801575, 98.538670,  479.216190, 
3ª iteración:
/home/oxcar103/:
108.11887,	96.302726,	179.428942,	
/Windows8/Users/Usuario/Óscar/:
89.647906,	100.718815,	184.90999,	
/media/MYLINUXLIVE/:
338.667675, 88.541673,  477.454075, 
4ª iteración:
/home/oxcar103/:
111.541217,	79.711355,	167.433405,	
/Windows8/Users/Usuario/Óscar/:
88.581740,	93.26439,	222.771772,	
/media/MYLINUXLIVE/:
344.178342, 103.509148, 480.783532, 
5ª iteración:
/home/oxcar103/:
126.854818,	103.733712,	171.814297,	
/Windows8/Users/Usuario/Óscar/:
141.266439,	96.759829,	204.484434,	
/media/MYLINUXLIVE/:	
339.723392, 100.476622, 478.149970, 

